UID	Format	Date
uswds-monthly-call-march-2024	pptx	2024-03-21 14:42:20
uswds-monthly-call-may-2022	pptx	2022-11-17 09:35:55
uswds-monthly-call-may-2023	pptx	2023-05-18 10:09:02
uswds-monthly-call-may-2024	pptx	2024-05-16 13:47:21
uswds-monthly-call-nov-2022	pptx	2023-03-02 16:55:06
uswds-monthly-call-november-2023	pptx	2023-11-16 09:04:15
uswds-monthly-call-november-2024	pptx	2024-11-22 12:27:43
uswds-monthly-call-october-2022	pptx	2022-11-17 09:35:55
uswds-monthly-call-october-2023	pptx	2023-10-19 10:14:08
uswds-monthly-call-october-2024	pptx	2024-10-17 11:25:01
uswds-monthly-call-september-2022	pptx	2022-11-17 09:35:55
uswds-monthly-call-september-2023	pptx	2023-09-21 09:45:24
uswds-monthly-call-september-2024	pptx	2024-09-19 09:26:36
ux-summit-designing-with-people-of-all-abilities	pptx	2022-11-17 09:35:55
ux-summit-humanizing-data-and-success-metrics-accessible	pptx	2022-11-17 09:35:55
va-oit-gov-ux-summit	pptx	2022-11-17 09:35:55
wao-cop-web-accessibility-seo-cfpb	pptx	2022-11-17 09:35:55
world-usability-day-ux-graphic-with-links-final	pdf	2022-12-20 14:11:06
you-are-the-user-ux-summit-22	pptx	2022-11-17 09:35:55
you-human-centered-designer-ux-summit	pptx	2022-11-17 09:35:55
you-may-already-know-more-than-you-think-part-one-ux-summit-22	pptx	2022-11-17 09:35:56
you-may-already-know-more-than-you-think-part-two-ux-summit-22	pptx	2022-11-17 09:35:55
